DHW0BRa,DHW1BRa,DHW2BRa,DHW3BRa,DHW4BRa,DHW5BRa,DHW0BRb,DHW1BRb,DHW2BRb,DHW3BRb,DHW4BRb,DHW5BRb,DHW0BRc,DHW1BRc,DHW2BRc,DHW3BRc,DHW4BRc,DHW5BRc,DHW0BRd,DHW1BRd,DHW2BRd,DHW3BRd,DHW4BRd,DHW5BRd,DHW0BRe,DHW1BRe,DHW2BRe,DHW3BRe,DHW4BRe,DHW5BRe
1H1,1H1,3H1,3H1,4H1,2H1,1H1,1H1,3H1,3H1,4H1,2H1,1H1,1H1,3H1,3H1,4H1,2H1,1H1,1H1,3H1,3H1,4H1,2H1,1H1,1H1,3H1,3H1,4H1,2H1
1D3,2D3,1D3,6D3,2D3,2D3,1D4,2D4,1D4,6D4,2D4,2D4,1D1,2D1,1D1,6D1,2D1,2D1,1D5,2D5,1D5,6D5,2D5,2D5,1D4,2D4,1D4,6D4,2D4,2D4
2E2,1E2,2E2,1E2,6E2,2E2,2E2,1E2,2E2,1E2,6E2,2E2,2E2,1E2,2E2,1E2,6E2,2E2,2E2,1E2,2E2,1E2,6E2,2E2,2E1,1E1,2E1,1E1,6E1,2E1
1E1,2E1,3E1,2E1,4E1,2E1,1E1,2E1,3E1,2E1,4E1,2E1,1E1,2E1,3E1,2E1,4E1,2E1,1E1,2E1,3E1,2E1,4E1,2E1,1E2,2E2,3E2,2E2,4E2,2E2
1D5,4D5,2D5,2D5,2D5,6D5,1D5,4D5,2D5,2D5,2D5,6D5,1D4,4D4,2D4,2D4,2D4,6D4,1D1,4D1,2D1,2D1,2D1,6D1,1D5,4D5,2D5,2D5,2D5,6D5
1D2,6D2,4D2,3D2,4D2,6D2,1D2,6D2,4D2,3D2,4D2,6D2,1D2,6D2,4D2,3D2,4D2,6D2,1D2,6D2,4D2,3D2,4D2,6D2,1D1,6D1,4D1,3D1,4D1,6D1
2D4,2D4,1D4,3D4,2D4,4D4,2D1,2D1,1D1,3D1,2D1,4D1,2D5,2D5,1D5,3D5,2D5,4D5,2D3,2D3,1D3,3D3,2D3,4D3,2D2,2D2,1D2,3D2,2D2,4D2
1D1,1D1,2D1,4D1,5D1,4D1,1D3,1D3,2D3,4D3,5D3,4D3,1D3,1D3,2D3,4D3,5D3,4D3,1D4,1D4,2D4,4D4,5D4,4D4,1D3,1D3,2D3,4D3,5D3,4D3
3D5,1D5,2D5,4D5,6D5,2D5,3D4,1D4,2D4,4D4,6D4,2D4,3D4,1D4,2D4,4D4,6D4,2D4,3D4,1D4,2D4,4D4,6D4,2D4,3D4,1D4,2D4,4D4,6D4,2D4
1E2,5E2,1E2,3E2,6E2,4E2,1E1,5E1,1E1,3E1,6E1,4E1,1E2,5E2,1E2,3E2,6E2,4E2,1E1,5E1,1E1,3E1,6E1,4E1,1E1,5E1,1E1,3E1,6E1,4E1
1E1,1E1,2E1,4E1,4E1,4E1,1E2,1E2,2E2,4E2,4E2,4E2,1E1,1E1,2E1,4E1,4E1,4E1,1E2,1E2,2E2,4E2,4E2,4E2,1E2,1E2,2E2,4E2,4E2,4E2
2D2,1D2,2D2,3D2,6D2,3D2,2D3,1D3,2D3,3D3,6D3,3D3,2D5,1D5,2D5,3D5,6D5,3D5,2D3,1D3,2D3,3D3,6D3,3D3,2D2,1D2,2D2,3D2,6D2,3D2
1D1,6D1,1D1,2D1,3D1,4D1,1D2,6D2,1D2,2D2,3D2,4D2,1D2,6D2,1D2,2D2,3D2,4D2,1D5,6D5,1D5,2D5,3D5,4D5,1D5,6D5,1D5,2D5,3D5,4D5
1D3,1D3,1D3,1D3,6D3,2D3,1D5,1D5,1D5,1D5,6D5,2D5,1D3,1D3,1D3,1D3,6D3,2D3,1D2,1D2,1D2,1D2,6D2,2D2,1D1,1D1,1D1,1D1,6D1,2D1
1D4,1D4,4D4,1D4,4D4,6D4,1D1,1D1,4D1,1D1,4D1,6D1,1D1,1D1,4D1,1D1,4D1,6D1,1D1,1D1,4D1,1D1,4D1,6D1,1D3,1D3,4D3,1D3,4D3,6D3
1D1,2D1,4D1,2D1,4D1,4D1,1D1,2D1,4D1,2D1,4D1,4D1,1D5,2D5,4D5,2D5,4D5,4D5,1D2,2D2,4D2,2D2,4D2,4D2,1D3,2D3,4D3,2D3,4D3,4D3
1E1,1E1,2E1,1E1,2E1,4E1,1E2,1E2,2E2,1E2,2E2,4E2,1E2,1E2,2E2,1E2,2E2,4E2,1E1,1E1,2E1,1E1,2E1,4E1,1E1,1E1,2E1,1E1,2E1,4E1
1E2,1E2,1E2,4E2,5E2,2E2,1E1,1E1,1E1,4E1,5E1,2E1,1E1,1E1,1E1,4E1,5E1,2E1,1E2,1E2,1E2,4E2,5E2,2E2,1E2,1E2,1E2,4E2,5E2,2E2
1H1,1H1,3H1,2H1,4H1,4H1,1H1,1H1,3H1,2H1,4H1,4H1,1H1,1H1,3H1,2H1,4H1,4H1,1H1,1H1,3H1,2H1,4H1,4H1,1H1,1H1,3H1,2H1,4H1,4H1
6D3,2D3,2D3,3D3,6D3,4D3,6D5,2D5,2D5,3D5,6D5,4D5,6D3,2D3,2D3,3D3,6D3,4D3,6D5,2D5,2D5,3D5,6D5,4D5,6D1,2D1,2D1,3D1,6D1,4D1
1D5,2D5,1D5,3D5,6D5,2D5,1D2,2D2,1D2,3D2,6D2,2D2,1D4,2D4,1D4,3D4,6D4,2D4,1D3,2D3,1D3,3D3,6D3,2D3,1D5,2D5,1D5,3D5,6D5,2D5
2D4,1D4,1D4,3D4,4D4,2D4,2D4,1D4,1D4,3D4,4D4,2D4,2D1,1D1,1D1,3D1,4D1,2D1,2D1,1D1,1D1,3D1,4D1,2D1,2D2,1D2,1D2,3D2,4D2,2D2
1D2,4D2,4D2,3D2,2D2,4D2,1D3,4D3,4D3,3D3,2D3,4D3,1D2,4D2,4D2,3D2,2D2,4D2,1D4,4D4,4D4,3D4,2D4,4D4,1D4,4D4,4D4,3D4,2D4,4D4
1E1,2E1,1E1,2E1,6E1,6E1,1E1,2E1,1E1,2E1,6E1,6E1,1E2,2E2,1E2,2E2,6E2,6E2,1E2,2E2,1E2,2E2,6E2,6E2,1E1,2E1,1E1,2E1,6E1,6E1
1E2,2E2,2E2,2E2,4E2,4E2,1E2,2E2,2E2,2E2,4E2,4E2,1E1,2E1,2E1,2E1,4E1,4E1,1E1,2E1,2E1,2E1,4E1,4E1,1E2,2E2,2E2,2E2,4E2,4E2
1D2,6D2,1D2,2D2,6D2,4D2,1D3,6D3,1D3,2D3,6D3,4D3,1D5,6D5,1D5,2D5,6D5,4D5,1D3,6D3,1D3,2D3,6D3,4D3,1D4,6D4,1D4,2D4,6D4,4D4
1D5,2D5,5D5,2D5,6D5,4D5,1D2,2D2,5D2,2D2,6D2,4D2,1D2,2D2,5D2,2D2,6D2,4D2,1D4,2D4,5D4,2D4,6D4,4D4,1D2,2D2,5D2,2D2,6D2,4D2
2D4,1D4,4D4,3D4,5D4,6D4,2D4,1D4,4D4,3D4,5D4,6D4,2D4,1D4,4D4,3D4,5D4,6D4,2D1,1D1,4D1,3D1,5D1,6D1,2D1,1D1,4D1,3D1,5D1,6D1
2D1,1D1,2D1,2D1,4D1,2D1,2D5,1D5,2D5,2D5,4D5,2D5,2D1,1D1,2D1,2D1,4D1,2D1,2D5,1D5,2D5,2D5,4D5,2D5,2D3,1D3,2D3,2D3,4D3,2D3
1D3,2D3,4D3,4D3,4D3,2D3,1D1,2D1,4D1,4D1,4D1,2D1,1D3,2D3,4D3,4D3,4D3,2D3,1D2,2D2,4D2,4D2,4D2,2D2,1D5,2D5,4D5,4D5,4D5,2D5
1E1,3E1,5E1,2E1,6E1,4E1,1E1,3E1,5E1,2E1,6E1,4E1,1E1,3E1,5E1,2E1,6E1,4E1,1E2,3E2,5E2,2E2,6E2,4E2,1E2,3E2,5E2,2E2,6E2,4E2
1E2,2E2,4E2,5E2,2E2,4E2,1E2,2E2,4E2,5E2,2E2,4E2,1E2,2E2,4E2,5E2,2E2,4E2,1E1,2E1,4E1,5E1,2E1,4E1,1E1,2E1,4E1,5E1,2E1,4E1
1D2,1D2,2D2,6D2,4D2,2D2,1D4,1D4,2D4,6D4,4D4,2D4,1D4,1D4,2D4,6D4,4D4,2D4,1D5,1D5,2D5,6D5,4D5,2D5,1D5,1D5,2D5,6D5,4D5,2D5
1D5,2D5,1D5,5D5,4D5,4D5,1D5,2D5,1D5,5D5,4D5,4D5,1D1,2D1,1D1,5D1,4D1,4D1,1D1,2D1,1D1,5D1,4D1,4D1,1D2,2D2,1D2,5D2,4D2,4D2
2D1,1D1,1D1,5D1,1D1,2D1,2D2,1D2,1D2,5D2,1D2,2D2,2D5,1D5,1D5,5D5,1D5,2D5,2D3,1D3,1D3,5D3,1D3,2D3,2D4,1D4,1D4,5D4,1D4,2D4
1D3,2D3,1D3,2D3,6D3,2D3,1D3,2D3,1D3,2D3,6D3,2D3,1D3,2D3,1D3,2D3,6D3,2D3,1D2,2D2,1D2,2D2,6D2,2D2,1D1,2D1,1D1,2D1,6D1,2D1
3D4,1D4,1D4,1D4,2D4,2D4,3D1,1D1,1D1,1D1,2D1,2D1,3D2,1D2,1D2,1D2,2D2,2D2,3D4,1D4,1D4,1D4,2D4,2D4,3D3,1D3,1D3,1D3,2D3,2D3
2E1,1E1,6E1,4E1,4E1,3E1,2E2,1E2,6E2,4E2,4E2,3E2,2E2,1E2,6E2,4E2,4E2,3E2,2E2,1E2,6E2,4E2,4E2,3E2,2E1,1E1,6E1,4E1,4E1,3E1
2E2,1E2,2E2,3E2,3E2,2E2,2E1,1E1,2E1,3E1,3E1,2E1,2E1,1E1,2E1,3E1,3E1,2E1,2E1,1E1,2E1,3E1,3E1,2E1,2E2,1E2,2E2,3E2,3E2,2E2
1D2,2D2,6D2,3D2,2D2,6D2,1D4,2D4,6D4,3D4,2D4,6D4,1D4,2D4,6D4,3D4,2D4,6D4,1D1,2D1,6D1,3D1,2D1,6D1,1D5,2D5,6D5,3D5,2D5,6D5
1D1,1D1,1D1,4D1,4D1,2D1,1D2,1D2,1D2,4D2,4D2,2D2,1D1,1D1,1D1,4D1,4D1,2D1,1D4,1D4,1D4,4D4,4D4,2D4,1D1,1D1,1D1,4D1,4D1,2D1
1D3,1D3,3D3,1D3,6D3,4D3,1D1,1D1,3D1,1D1,6D1,4D1,1D2,1D2,3D2,1D2,6D2,4D2,1D2,1D2,3D2,1D2,6D2,4D2,1D4,1D4,3D4,1D4,6D4,4D4
1D5,1D5,2D5,4D5,4D5,4D5,1D5,1D5,2D5,4D5,4D5,4D5,1D5,1D5,2D5,4D5,4D5,4D5,1D5,1D5,2D5,4D5,4D5,4D5,1D2,1D2,2D2,4D2,4D2,4D2
1D4,1D4,2D4,2D4,6D4,2D4,1D3,1D3,2D3,2D3,6D3,2D3,1D3,1D3,2D3,2D3,6D3,2D3,1D3,1D3,2D3,2D3,6D3,2D3,1D3,1D3,2D3,2D3,6D3,2D3
2E1,1E1,3E1,2E1,5E1,6E1,2E1,1E1,3E1,2E1,5E1,6E1,2E2,1E2,3E2,2E2,5E2,6E2,2E2,1E2,3E2,2E2,5E2,6E2,2E1,1E1,3E1,2E1,5E1,6E1
1E2,1E2,2E2,5E2,4E2,4E2,1E2,1E2,2E2,5E2,4E2,4E2,1E1,1E1,2E1,5E1,4E1,4E1,1E1,1E1,2E1,5E1,4E1,4E1,1E2,1E2,2E2,5E2,4E2,4E2
2H1,2H1,1H1,4H1,4H1,4H1,2H1,2H1,1H1,4H1,4H1,4H1,2H1,2H1,1H1,4H1,4H1,4H1,2H1,2H1,1H1,4H1,4H1,4H1,2H1,2H1,1H1,4H1,4H1,4H1
1D5,1D5,1D5,3D5,2D5,6D5,1D4,1D4,1D4,3D4,2D4,6D4,1D1,1D1,1D1,3D1,2D1,6D1,1D1,1D1,1D1,3D1,2D1,6D1,1D1,1D1,1D1,3D1,2D1,6D1
1D4,1D4,2D4,5D4,6D4,4D4,1D5,1D5,2D5,5D5,6D5,4D5,1D5,1D5,2D5,5D5,6D5,4D5,1D4,1D4,2D4,5D4,6D4,4D4,1D5,1D5,2D5,5D5,6D5,4D5
1D2,1D2,5D2,5D2,4D2,4D2,1D1,1D1,5D1,5D1,4D1,4D1,1D4,1D4,5D4,5D4,4D4,4D4,1D3,1D3,5D3,5D3,4D3,4D3,1D4,1D4,5D4,5D4,4D4,4D4
2D1,2D1,4D1,5D1,4D1,2D1,2D2,2D2,4D2,5D2,4D2,2D2,2D3,2D3,4D3,5D3,4D3,2D3,2D5,2D5,4D5,5D5,4D5,2D5,2D3,2D3,4D3,5D3,4D3,2D3
1E2,2E2,4E2,3E2,4E2,4E2,1E1,2E1,4E1,3E1,4E1,4E1,1E2,2E2,4E2,3E2,4E2,4E2,1E2,2E2,4E2,3E2,4E2,4E2,1E1,2E1,4E1,3E1,4E1,4E1
1E1,3E1,6E1,3E1,6E1,2E1,1E2,3E2,6E2,3E2,6E2,2E2,1E1,3E1,6E1,3E1,6E1,2E1,1E1,3E1,6E1,3E1,6E1,2E1,1E2,3E2,6E2,3E2,6E2,2E2
2D3,2D3,2D3,1D3,4D3,6D3,2D3,2D3,2D3,1D3,4D3,6D3,2D2,2D2,2D2,1D2,4D2,6D2,2D2,2D2,2D2,1D2,4D2,6D2,2D2,2D2,2D2,1D2,4D2,6D2
1D5,2D5,1D5,3D5,2D5,6D5,1D4,2D4,1D4,3D4,2D4,6D4,1D5,2D5,1D5,3D5,2D5,6D5,1D4,2D4,1D4,3D4,2D4,6D4,1D3,2D3,1D3,3D3,2D3,6D3
2D1,2D1,2D1,2D1,4D1,2D1,2D2,2D2,2D2,2D2,4D2,2D2,2D2,2D2,2D2,2D2,4D2,2D2,2D5,2D5,2D5,2D5,4D5,2D5,2D4,2D4,2D4,2D4,4D4,2D4
1D3,1D3,6D3,1D3,6D3,6D3,1D5,1D5,6D5,1D5,6D5,6D5,1D3,1D3,6D3,1D3,6D3,6D3,1D2,1D2,6D2,1D2,6D2,6D2,1D5,1D5,6D5,1D5,6D5,6D5
1D2,2D2,3D2,5D2,6D2,2D2,1D1,2D1,3D1,5D1,6D1,2D1,1D4,2D4,3D4,5D4,6D4,2D4,1D3,2D3,3D3,5D3,6D3,2D3,1D1,2D1,3D1,5D1,6D1,2D1
1E2,2E2,2E2,5E2,5E2,6E2,1E2,2E2,2E2,5E2,5E2,6E2,1E1,2E1,2E1,5E1,5E1,6E1,1E2,2E2,2E2,5E2,5E2,6E2,1E2,2E2,2E2,5E2,5E2,6E2
1E1,1E1,4E1,2E1,6E1,2E1,1E1,1E1,4E1,2E1,6E1,2E1,1E2,1E2,4E2,2E2,6E2,2E2,1E1,1E1,4E1,2E1,6E1,2E1,1E1,1E1,4E1,2E1,6E1,2E1
1D4,1D4,3D4,1D4,6D4,4D4,1D3,1D3,3D3,1D3,6D3,4D3,1D1,1D1,3D1,1D1,6D1,4D1,1D1,1D1,3D1,1D1,6D1,4D1,1D2,1D2,3D2,1D2,6D2,4D2
1D2,2D2,3D2,4D2,6D2,4D2,1D3,2D3,3D3,4D3,6D3,4D3,1D4,2D4,3D4,4D4,6D4,4D4,1D2,2D2,3D2,4D2,6D2,4D2,1D1,2D1,3D1,4D1,6D1,4D1
1D4,1D4,2D4,3D4,3D4,2D4,1D5,1D5,2D5,3D5,3D5,2D5,1D5,1D5,2D5,3D5,3D5,2D5,1D4,1D4,2D4,3D4,3D4,2D4,1D2,1D2,2D2,3D2,3D2,2D2
1D1,2D1,2D1,6D1,4D1,6D1,1D1,2D1,2D1,6D1,4D1,6D1,1D2,2D2,2D2,6D2,4D2,6D2,1D3,2D3,2D3,6D3,4D3,6D3,1D5,2D5,2D5,6D5,4D5,6D5
1D3,4D3,1D3,3D3,4D3,6D3,1D2,4D2,1D2,3D2,4D2,6D2,1D3,4D3,1D3,3D3,4D3,6D3,1D5,4D5,1D5,3D5,4D5,6D5,1D4,4D4,1D4,3D4,4D4,6D4
3E1,1E1,2E1,4E1,4E1,4E1,3E2,1E2,2E2,4E2,4E2,4E2,3E1,1E1,2E1,4E1,4E1,4E1,3E1,1E1,2E1,4E1,4E1,4E1,3E1,1E1,2E1,4E1,4E1,4E1
1E2,1E2,3E2,3E2,1E2,2E2,1E1,1E1,3E1,3E1,1E1,2E1,1E2,1E2,3E2,3E2,1E2,2E2,1E2,1E2,3E2,3E2,1E2,2E2,1E2,1E2,3E2,3E2,1E2,2E2
2D5,1D5,1D5,2D5,2D5,4D5,2D4,1D4,1D4,2D4,2D4,4D4,2D1,1D1,1D1,2D1,2D1,4D1,2D1,1D1,1D1,2D1,2D1,4D1,2D3,1D3,1D3,2D3,2D3,4D3
2D5,1D5,1D5,6D5,4D5,4D5,2D4,1D4,1D4,6D4,4D4,4D4,2D1,1D1,1D1,6D1,4D1,4D1,2D2,1D2,1D2,6D2,4D2,4D2,2D4,1D4,1D4,6D4,4D4,4D4
1D1,1D1,3D1,3D1,3D1,4D1,1D1,1D1,3D1,3D1,3D1,4D1,1D2,1D2,3D2,3D2,3D2,4D2,1D1,1D1,3D1,3D1,3D1,4D1,1D3,1D3,3D3,3D3,3D3,4D3
1D3,1D3,6D3,4D3,6D3,4D3,1D3,1D3,6D3,4D3,6D3,4D3,1D5,1D5,6D5,4D5,6D5,4D5,1D3,1D3,6D3,4D3,6D3,4D3,1D2,1D2,6D2,4D2,6D2,4D2
1D4,1D4,1D4,3D4,4D4,4D4,1D5,1D5,1D5,3D5,4D5,4D5,1D4,1D4,1D4,3D4,4D4,4D4,1D5,1D5,1D5,3D5,4D5,4D5,1D1,1D1,1D1,3D1,4D1,4D1
1E2,1E2,5E2,3E2,6E2,2E2,1E2,1E2,5E2,3E2,6E2,2E2,1E1,1E1,5E1,3E1,6E1,2E1,1E2,1E2,5E2,3E2,6E2,2E2,1E2,1E2,5E2,3E2,6E2,2E2
1E1,1E1,2E1,3E1,6E1,5E1,1E1,1E1,2E1,3E1,6E1,5E1,1E2,1E2,2E2,3E2,6E2,5E2,1E1,1E1,2E1,3E1,6E1,5E1,1E1,1E1,2E1,3E1,6E1,5E1
1D2,1D2,1D2,4D2,6D2,4D2,1D2,1D2,1D2,4D2,6D2,4D2,1D3,1D3,1D3,4D3,6D3,4D3,1D4,1D4,1D4,4D4,6D4,4D4,1D5,1D5,1D5,4D5,6D5,4D5
1D1,1D1,2D1,2D1,4D1,4D1,1D3,1D3,2D3,2D3,4D3,4D3,1D5,1D5,2D5,2D5,4D5,4D5,1D1,1D1,2D1,2D1,4D1,4D1,1D4,1D4,2D4,2D4,4D4,4D4
1D5,2D5,4D5,1D5,4D5,6D5,1D4,2D4,4D4,1D4,4D4,6D4,1D4,2D4,4D4,1D4,4D4,6D4,1D5,2D5,4D5,1D5,4D5,6D5,1D2,2D2,4D2,1D2,4D2,6D2
1D2,2D2,4D2,2D2,4D2,4D2,1D2,2D2,4D2,2D2,4D2,4D2,1D1,2D1,4D1,2D1,4D1,4D1,1D3,2D3,4D3,2D3,4D3,4D3,1D1,2D1,4D1,2D1,4D1,4D1
1D4,2D4,2D4,2D4,5D4,2D4,1D5,2D5,2D5,2D5,5D5,2D5,1D2,2D2,2D2,2D2,5D2,2D2,1D4,2D4,2D4,2D4,5D4,2D4,1D5,2D5,2D5,2D5,5D5,2D5
2E2,1E2,4E2,1E2,6E2,6E2,2E2,1E2,4E2,1E2,6E2,6E2,2E1,1E1,4E1,1E1,6E1,6E1,2E1,1E1,4E1,1E1,6E1,6E1,2E2,1E2,4E2,1E2,6E2,6E2
1E1,1E1,3E1,3E1,6E1,6E1,1E1,1E1,3E1,3E1,6E1,6E1,1E2,1E2,3E2,3E2,6E2,6E2,1E2,1E2,3E2,3E2,6E2,6E2,1E1,1E1,3E1,3E1,6E1,6E1
1D3,1D3,3D3,4D3,5D3,4D3,1D1,1D1,3D1,4D1,5D1,4D1,1D3,1D3,3D3,4D3,5D3,4D3,1D2,1D2,3D2,4D2,5D2,4D2,1D3,1D3,3D3,4D3,5D3,4D3
1D5,1D5,2D5,2D5,3D5,2D5,1D4,1D4,2D4,2D4,3D4,2D4,1D5,1D5,2D5,2D5,3D5,2D5,1D3,1D3,2D3,2D3,3D3,2D3,1D1,1D1,2D1,2D1,3D1,2D1
1D4,1D4,1D4,2D4,6D4,2D4,1D3,1D3,1D3,2D3,6D3,2D3,1D3,1D3,1D3,2D3,6D3,2D3,1D4,1D4,1D4,2D4,6D4,2D4,1D2,1D2,1D2,2D2,6D2,2D2
1D1,1D1,4D1,3D1,4D1,4D1,1D2,1D2,4D2,3D2,4D2,4D2,1D1,1D1,4D1,3D1,4D1,4D1,1D2,1D2,4D2,3D2,4D2,4D2,1D4,1D4,4D4,3D4,4D4,4D4
1D3,1D3,1D3,3D3,6D3,2D3,1D5,1D5,1D5,3D5,6D5,2D5,1D4,1D4,1D4,3D4,6D4,2D4,1D1,1D1,1D1,3D1,6D1,2D1,1D5,1D5,1D5,3D5,6D5,2D5
1E1,2E1,1E1,1E1,6E1,4E1,1E2,2E2,1E2,1E2,6E2,4E2,1E1,2E1,1E1,1E1,6E1,4E1,1E2,2E2,1E2,1E2,6E2,4E2,1E1,2E1,1E1,1E1,6E1,4E1
1E2,1E2,1E2,4E2,6E2,2E2,1E1,1E1,1E1,4E1,6E1,2E1,1E2,1E2,1E2,4E2,6E2,2E2,1E1,1E1,1E1,4E1,6E1,2E1,1E2,1E2,1E2,4E2,6E2,2E2
1D2,1D2,1D2,3D2,3D2,2D2,1D1,1D1,1D1,3D1,3D1,2D1,1D2,1D2,1D2,3D2,3D2,2D2,1D5,1D5,1D5,3D5,3D5,2D5,1D3,1D3,1D3,3D3,3D3,2D3
